COVID_ambulanta_pri_zdravstvenoj_ustanovi,Grad/opština,Adresa,Broj_zgrade,Geo_Latitude,Geo_Longitude,Kontakt_telefon,Mobilni_telefon,Radni_dan_radno_vreme_od,Radni_dan_radno_vreme_do,Vikend_radno_vreme_od,Vikend_radno_vreme_do,Prilaz_za_invalide
DOM ZDRAVLJA ADA,ADA,JOŽEFA ATILE,9,45.7954113,20.1297865,,+381 631097776,7,22,7,22,DA
DOM ZDRAVLJA ALIBUNAR,ALIBUNAR,TRG SLOBODE,8,45.0796916,20.9664953,+381 13641063,,7,22,7,22,DA
DOM ZDRAVLJA APATIN,APATIN,NUŠIĆEVA,1,45.6731417,18.9773766,+381 25773503,+381 648292091,7,22,7,22,NE
DOM ZDRAVLJA ARILJE,ARILJE,VOJVODE MIŠIĆA,26,43.7498478,20.0961678,,+381 648170573,7,22,7,22,NE
DOM ZDRAVLJA BABUŠNICA,BABUSNICA,IVICE MILADINOVIĆA,1,43.0607046,22.4004417,+381 384194,+381 606004955,7,22,7,22,DA
DOM ZDRAVLJA BAČ RESPIRATORNI CENTAR,BAČ,BAČKA,2,45.3922484,19.2305568,+381 648940232,,0,24,0,24,DA
DOM ZDRAVLJA BAČKA PALANKA,BAČKA PALANKA,KRALJA PETRA I,26,45.2486492,19.3886563,+381 217550384,,7,22,7,22,DA
DOM ZDRAVLJA BAČKA TOPOLA,BAČKA TOPOLA,SVETOG STEFANA,1,45.8216736,19.6309974,+381 24773193,+381 646591028,0,24,0,24,DA
DOM ZDRAVLJA BAČKI PETROVAC RESPIRATORNI CENTAR,BAČKI PETROVAC,MARŠALA TITA,6,45.3597129,19.5918179,+381 21780015,+381 628022119,7,22,7,22,DA
DOM ZDRAVLJA BAJINA BAŠTA,BAJINA BAŠTA,MILANA OBRENOVIĆA,72,43.9747038,19.5577133,,+381 648170576,7,22,7,22,DA
DOM ZDRAVLJA BEČEJ,BEČEJ,BRAĆE TAN,3,45.6150937,20.0499346,+381 216915310,+381 628862065,7,18,0,24,DA
DOM ZDRAVLJA BELA CRKVA,BELA CRKVA,JOVANA POPOVIĆA,BB,44.8978536,21.4204242,+381 13853020,,0,24,0,24,DA
DOM ZDRAVLJA BELA PALANKA,BELA PALANKA,BRANISLAVA NUŠIĆA,2,44.8978536,21.4204242,+381 18853087,,7,22,7,22,NE
DOM ZDRAVLJA BEOČIN,BEOČIN,SVETOSAVSKA,BB,45.2074348,19.7232887,+381 21872888,,7,22,7,22,DA
DOM ZDRAVLJA BARAJEVO,BEOGRAD,ČEDOMIRA ĐOINČEVIĆA,95,44.58286,20.41542,+381 698225363,+381 698225354,7,22,7,22,DA
DOM ZDRAVLJA VOZDOVAC,BEOGRAD,USTANIČKA,125B,44.78441,20.49178,+381 112440491,+381 628000926,7,22,7,22,NE
DOM ZDRAVLJA VRAČAR,BEOGRAD,BOJANSKA,16,44.79726,20.48418,+381 698851684,+381 698851636,7,22,7,22,DA
DOM ZDRAVLJA GROCKA,BEOGRAD,SMEDEREVSKI PUT,BB,44.7452133,20.5956868,+381 118035121,+381 698324140,0,24,0,24,DA
DOM ZDRAVLJA ZVEZDARA - AMBULANTA SEVERNI BULEVAR,BEOGRAD,VELJKA DUGOŠEVIĆA,44,44.805303,20.4971812,+381 12416866,+381 698231456,7,22,7,22,DA
DOM ZDRAVLJA ZEMUN,BEOGRAD,TOPLIČKA,8,44.8455749,20.3819687,+381 112616288,+381 608871568,7,22,7,22,DA
DOM ZDRAVLJA ZEMUN - ZDRAVSTVENA STANICA SURČIN,BEOGRAD,BRAĆE PUHALOVIĆ,12,44.792293,20.2702178,+381 112616288,+381 608871686,7,22,7,22,DA
DOM ZDRAVLJA LAZAREVAC,BEOGRAD,DR. ĐORĐA KOVAČEVIĆA,27,44.3820986,20.2746195,+381 118121712,+381 600457399,7,22,7,22,DA
DOM ZDRAVLJA MLADENOVAC,BEOGRAD,KRALJICE MARIJE,15,44.4425017,20.6958993,+381 118241574,+381 608225269,7,22,7,18,DA
DOM ZDRAVLJA NOVI BEOGRAD,BEOGRAD,OMLADINSKIH BRIGADA,104,44.8057338,20.3980237,+381 112095414,+381 601013828,7,22,7,22,DA
DOM ZDRAVLJA OBRENOVAC,BEOGRAD,VOJVODE MIŠIĆA,231,44.655926,20.202362,+381 118724253,+381 648200926,0,24,0,24,DA
